cell_id,mae
4151,96.60836379684814
4152,112.87378545634364
4153,87.59384739602412
4154,109.50830737922811
4155,163.81335827907827
4156,122.16656826777468
4157,148.16833743205626
4158,125.12689539398515
4159,147.9550821177781
4160,147.78761843495624
4161,173.27216948072842
4162,101.8679540816187
4163,123.55636476527904
4164,76.04484467513234
4165,38.883565031492935
4166,29.30439276230555
4167,24.62223349665808
4168,186.4509849953602
4169,150.73334576902366
4170,20.002081007246957
4251,93.00130850174733
4252,98.74371493547861
4253,103.81203264736223
4254,133.48322363291086
4255,165.0276201247727
4256,176.41981810317597
4257,237.42042298319708
4258,191.37185511934496
4259,182.048297963855
4260,170.10323213830495
4261,160.07607599596656
4262,78.1422357941941
4263,91.83055714510945
4264,114.44502266712094
4265,71.89763308495918
4266,49.243715379609135
4267,56.89827644326225
4268,44.2180413842634
4269,48.19282701687392
4270,16.863717910269088
4351,127.11170889673255
4352,102.74017141742226
4353,109.51641457111576
4354,158.33784940822153
4355,152.11048467945943
4356,270.18859856308393
4357,143.1007312272586
4358,176.53714966651128
4359,267.0542168830781
4360,193.06706298059663
4361,215.04119012588387
4362,348.1188873861451
4363,198.74734232875664
4364,183.70986024191217
4365,47.60133958509008
4366,92.0248992244471
4367,156.0245617473565
4368,45.5928909482681
4369,39.02475055722986
4370,33.3996494966046
4451,191.52042949272297
4452,238.0559387431677
4453,194.84606814122876
4454,229.71014872077916
4455,171.3342360265575
4456,220.20160844534877
4457,276.0526269373084
4458,228.64185435060912
4459,926.9543784022754
4460,455.08576422830754
4461,264.28851407335816
4462,362.70475176557414
4463,223.35748302133442
4464,139.8484305586083
4465,46.37746648712037
4466,43.485363511953445
4467,46.68523998235311
4468,64.18474778852395
4469,62.542024288623715
4470,34.37570192916721
4551,159.22968525313976
4552,189.22636335560898
4553,235.10529730333934
4554,206.2715608474254
4555,164.39960260693982
4556,245.76740288824146
4557,180.47891104581188
4558,238.89529615477434
4559,349.045484800268
4560,278.61420694637104
4561,226.84532698914046
4562,179.39730105766142
4563,36.49606005250352
4564,60.27261677290813
4565,47.836279445492906
4566,48.67353174479622
4567,30.74525997892746
4568,50.12118443338541
4569,64.73276866184767
4570,26.37855622001144
4651,173.35880748052563
4652,223.66756261710478
4653,272.21935360777246
4654,300.0621140648771
4655,177.4305931218213
4656,196.45870336660468
4657,254.89309432834955
4658,182.01779392357287
4659,333.52857232235914
4660,263.8773825188487
4661,277.50417201357317
4662,299.50228415736177
4663,42.5207542793975
4664,70.6707203114717
4665,45.83226921492969
4666,43.296117307510784
4667,34.19711202795366
4668,32.17507282827988
4669,86.62611444190682
4670,36.12909990285163
4751,209.58868686475105
4752,189.00304555230912
4753,189.34159052556467
4754,275.8359078129207
4755,360.9101155254358
4756,349.9458797567185
4757,257.9190606822964
4758,288.4266892744968
4759,355.06519830237363
4760,255.01627872975035
4761,325.1272024125455
4762,455.3656950204468
4763,66.10277949777125
4764,156.87747470958863
4765,96.43315150445991
4766,60.062494335529934
4767,55.87497057525794
4768,33.83282907899827
4769,36.54889975114339
4770,38.609743737281114
4851,177.43054378891213
4852,123.55219329304238
4853,209.7089887683567
4854,350.2426621166999
4855,400.69214828578595
4856,403.3340311953039
4857,390.7062995825191
4858,222.97858919605608
4859,240.31750945258975
4860,290.9431222732574
4861,366.6861554228459
4862,218.564665641296
4863,274.86298213874164
4864,149.63807682066664
4865,141.342844617915
4866,64.40593802303803
4867,52.61796092949076
4868,39.99584465701828
4869,75.02468567955667
4870,90.56334329790164
4951,139.9381238343791
4952,162.5591780613151
4953,262.975539509357
4954,311.8917759023443
4955,592.3374589751154
4956,651.5219259443486
4957,326.1469172968294
4958,319.1426664490261
4959,431.68932898388863
4960,312.57953541688966
4961,414.2039905858643
4962,298.42134857512127
4963,359.8318002338232
4964,365.45634655881173
4965,215.78451953080338
4966,57.61761016119242
4967,271.45563880627236
4968,278.03512475195413
4969,186.57263965452697
4970,124.46743874134829
5051,164.57162522684033
5052,255.25309907605802
5053,314.3757979830829
5054,207.34793472255166
5055,351.3102833390109
5056,518.9966160415878
5057,247.93962673526718
5058,242.37711076163285
5059,723.6839587225313
5060,251.19589107603315
5061,578.9755030555306
5062,417.5761895246512
5063,578.7211301409981
5064,479.36364502709944
5065,133.52689638474752
5066,55.13863547132485
5067,126.92388225864768
5068,339.7964696333604
5069,188.07578583289822
5070,184.41307730734536
5151,208.87386565043215
5152,245.68049329117792
5153,188.54261375691127
5154,371.78352261332685
5155,333.9401469349599
5156,420.7319438816205
5157,246.31666323464412
5158,387.95231315718354
5159,461.1196762310567
5160,318.0129192862561
5161,762.6224994592873
5162,391.08546262589414
5163,328.4634615793102
5164,297.2862955622888
5165,69.11798181768619
5166,57.08226032432337
5167,52.374545528958365
5168,213.68393868850183
5169,147.37074193811821
5170,227.9858357571481
5251,238.36102646946424
5252,308.00154918988613
5253,106.85769220305883
5254,216.59036115017759
5255,205.43807851484792
5256,324.61964993209415
5257,254.83549933505097
5258,606.8795528678859
5259,639.7605120904717
5260,298.6720799045567
5261,447.1193086208231
5262,390.7961263072359
5263,306.90909166977565
5264,250.59391322127382
5265,76.79256281098164
5266,86.22549974233935
5267,266.47913802742784
5268,203.85559611705736
5269,213.2042581470025
5270,169.94319365321027
5351,182.42624502561407
5352,169.12827992194468
5353,165.53782902702454
5354,79.37415339517749
5355,142.21325145287045
5356,111.98786622758661
5357,163.5749018091219
5358,350.67593036581997
5359,371.13181050086
5360,298.23722761289724
5361,305.79154748538434
5362,236.20664768694857
5363,163.52350828335864
5364,77.00782356373193
5365,34.28998843873051
5366,93.83337459506494
5367,330.520501138147
5368,298.19064079097484
5369,165.10129146273914
5370,178.65093505651706
5451,171.52810746694212
5452,230.07707675499293
5453,358.9573040305379
5454,131.11581881955902
5455,156.02078250060083
5456,128.79365697577077
5457,334.1690396253974
5458,514.8893587138468
5459,233.97378324821517
5460,327.9530401685364
5461,374.43174785739
5462,242.76375640442717
5463,213.64238601770887
5464,79.149312937263
5465,33.947242607013216
5466,72.9748194008612
5467,499.7859625155213
5468,194.70165548822087
5469,135.5290437215649
5470,144.0010186742738
5551,129.0630845939636
5552,153.99812922346356
5553,174.2083002858211
5554,111.90365339596828
5555,113.5278275857467
5556,108.67488302959607
5557,164.83326897856415
5558,122.4101732903057
5559,269.9625739631555
5560,266.1576570379274
5561,285.1222968950442
5562,352.49871290555154
5563,171.3448575632892
5564,92.64287434602463
5565,87.1341372558458
5566,213.7489056805442
5567,321.5324118461898
5568,184.4227307794652
5569,155.70989363932864
5570,133.3799474425213
5651,152.31139495271444
5652,223.82005365664963
5653,232.25738789238983
5654,136.4758931448319
5655,144.00665350326352
5656,106.24435582618797
5657,127.73926815017487
5658,317.81021400797965
5659,277.90011600064616
5660,393.36543957205265
5661,211.32146104370256
5662,365.00773255720134
5663,92.77046891612152
5664,65.25989826912279
5665,99.30350205459337
5666,102.05461934765263
5667,207.24184981060807
5668,198.75879304621083
5669,242.4813244933963
5670,160.72572169456086
5751,192.6185531480079
5752,517.0092908037047
5753,199.5605987571243
5754,171.61129101991122
5755,180.3035987890097
5756,130.50600517975778
5757,194.58578999323396
5758,453.8528352737088
5759,280.0141113504219
5760,284.17887976869997
5761,308.6141386846403
5762,271.6526471426027
5763,127.54878445506756
5764,84.34140627923398
5765,437.48986141142643
5766,274.3038397654996
5767,237.2846308384892
5768,156.75091549047875
5769,259.16592508266905
5770,228.7468033387619
5851,214.78110250812512
5852,151.92428689847608
5853,163.836146015827
5854,290.01767103233175
5855,256.3240347542201
5856,266.44598519540193
5857,370.3233900424852
5858,253.02208454756405
5859,320.5716917471813
5860,306.4493624384124
5861,319.95956735128004
5862,279.38614877794294
5863,170.47328247309434
5864,104.5518874388025
5865,289.74935643221636
5866,336.0926496974705
5867,230.90382227675713
5868,284.9435223791107
5869,159.82689538728567
5870,139.81952199930203
5951,293.8387839403276
5952,307.5220990616086
5953,209.97475682289502
5954,324.9064499399328
5955,438.5068513146149
5956,380.8400815328812
5957,592.6303183764553
5958,305.8552536425895
5959,335.9325243522337
5960,185.3889007052176
5961,156.09619555567826
5962,294.2824184994545
5963,279.5633290676719
5964,258.2811538960895
5965,431.2073009046153
5966,206.38106933604539
5967,277.2727114441002
5968,206.32771744765495
5969,201.71716195502796
5970,185.31245710504993
6051,312.45866406938836
6052,148.7864476202502
6053,211.10689275806135
6054,143.47675046256148
6055,217.7751549772813
6056,131.20549182641693
6057,163.2120769914874
6058,773.3421133733781
6059,303.6522095468607
6060,221.5070811148573
6061,164.7746795749714
6062,189.58718485731833
6063,237.49208803017422
6064,412.78162235778615
6065,406.05571036369474
6066,283.9361984707477
6067,267.6030847071806
6068,285.20942529970995
6069,362.2930160245872
6070,307.9685210674793
