epoch,train_loss,val_loss
1,0.11795995873103782,0.09648846799937578
2,0.0869052949602284,0.09855627226213423
3,0.08282643716328028,0.09137743835695661
4,0.0803732116665782,0.0877306983476648
5,0.078676144398022,0.08605258300470618
6,0.07779167344839108,0.0884776339880549
7,0.0767631479270938,0.08642479205074219
8,0.07606590661061247,0.0851002903497563
9,0.07531580992588183,0.08561335848214535
10,0.07486144972192806,0.0826998625896298
11,0.07424604950699865,0.08674861716679656
12,0.07367272909912394,0.08573787227416267
13,0.07326556472789224,0.08774068233771966
14,0.0729928887462834,0.08608758834190666
15,0.0725413572243074,0.08306510823993729
16,0.07219482614318046,0.08396640622558502
17,0.07172785653028546,0.0870198613161651
18,0.07149510964387801,0.0850142510371426
19,0.07107165208495245,0.08504462421656801
20,0.07072809264609,0.08434554825895108
