model,seed,epoch,train_loss,val_loss
MLP,42,1,0.10825099277332789,0.09844400304871109
MLP,42,2,0.08690781016720504,0.0946911942306906
MLP,42,3,0.0848848736486057,0.09639955409301015
MLP,42,4,0.08372805087486418,0.09537746999412774
MLP,42,5,0.08287215503704984,0.0935748679892948
MLP,42,6,0.08196313622521191,0.0902328914955545
MLP,42,7,0.08131066329504659,0.09308164581011694
MLP,42,8,0.08095061681528644,0.0925399275482274
MLP,42,9,0.08050891660426449,0.08920388110698416
MLP,42,10,0.0801287705060549,0.091348181194984
MLP,42,11,0.07963582290563642,0.09052083312605436
MLP,42,12,0.07938229170877759,0.09108434945058363
MLP,42,13,0.07910733101571478,0.08937403178129058
MLP,42,14,0.07892901965757695,0.09060700302943588
MLP,42,15,0.07861095143073216,0.09064113875134633
MLP,42,16,0.07832648904585257,0.09154414155520499
MLP,42,17,0.07816185524823462,0.09175006518426997
MLP,42,18,0.07809943284657671,0.09047597773444767
MLP,42,19,0.07789374638348817,0.0900601842154104
MLP,123,1,0.10565187999933232,0.10043912266882567
MLP,123,2,0.0871897010941331,0.09644426421047403
MLP,123,3,0.08532148448795807,0.09785749503697913
MLP,123,4,0.0839088608478991,0.0935040960697314
MLP,123,5,0.08294779285697676,0.09316923720045732
MLP,123,6,0.08252720361530054,0.09269313862403998
MLP,123,7,0.08179088914630617,0.09329908883055815
MLP,123,8,0.08150951551954921,0.09160222137991625
MLP,123,9,0.08096369408616205,0.09171048021445481
MLP,123,10,0.08063986258717572,0.09121917710997737
MLP,123,11,0.08006983691326729,0.09144906562896302
MLP,123,12,0.0798642536743385,0.08942828143087143
MLP,123,13,0.07940822511184506,0.09076348611941705
MLP,123,14,0.07942995502908783,0.092169335953748
MLP,123,15,0.07910594617266481,0.09214629477463089
MLP,123,16,0.07898427829600689,0.08857510747961127
MLP,123,17,0.07875362031070925,0.0905551450069134
MLP,123,18,0.07855522944887237,0.08878979361974276
MLP,123,19,0.07845424632110247,0.09127266979776323
MLP,123,20,0.07820742011251973,0.0910379756313677
MLP,123,21,0.07816569775888106,0.08982057566253039
MLP,123,22,0.07783103679011508,0.08911570659337135
