model,seed,val_mae,test_mae,test_rmse,test_mape,parameters,training_seconds,epochs_completed,best_epoch,best_val_loss
MLP,42,240.81153883335168,222.48862865032592,358.0968895499379,8.321361106698495,1665,96.84684639999978,19,9,0.08920388110698416
MLP,123,234.5257563791892,220.7743807717736,353.8636327998949,8.07149718746334,1665,124.32748189999984,26,16,0.08857510747961127
MLP,456,236.70939855072342,220.72962588508318,351.23129546032476,8.25299086990646,1665,205.25590199999897,45,35,0.086067320508166
CNN1D,42,239.809001199962,231.76629801429937,366.28742853193194,8.904209366596012,11521,109.22854129999905,19,9,0.08737187763819328
CNN1D,123,243.23085997148945,229.04342208028672,368.3567302692575,8.455742309119305,11521,103.96593690000009,18,8,0.08864084645962486
CNN1D,456,238.3048945758484,225.4776980782901,363.0872034644766,8.292173921129178,11521,119.6097651,19,9,0.08873703185468912
LSTM,42,222.1698203547045,213.24282365317984,347.18171546785953,7.720899386397988,17217,138.44566459999987,21,11,0.08315446816456433
LSTM,123,218.6625904132425,219.2939456811071,356.07736686976125,7.942937535365566,17217,134.88481539999884,20,10,0.0826998625896298
LSTM,456,220.42665037229017,213.108092072883,347.75171667507067,7.6635766466743345,17217,160.28948730000047,24,14,0.08290343016815874
