model,val_mae_mean,val_mae_std,test_mae_mean,test_mae_std,test_rmse_mean,test_mape_mean,parameters,training_seconds_mean,epochs_mean,best_epoch_mean,best_val_loss_mean
LSTM,220.41968704674574,1.753625339546304,215.21495380239,3.5331528709726676,350.3369330042305,7.775804522812629,17217,144.53998909999973,21.666666666666668,11.666666666666666,0.08291925364078429
MLP,237.3488979210881,3.191313969008192,221.33087843572756,1.0028907814525811,354.39727260338583,8.215283054689431,1665,142.14341009999953,30.0,20.0,0.08794876969825381
CNN1D,240.4482519157666,2.5244335756770795,228.76247272429205,3.153699683588978,365.91045408855535,8.550708532281499,11521,110.93474776666638,18.666666666666668,8.666666666666666,0.08824991865083576
